# sefstars.txt -- generated by scripts/build_stars.py, do not edit.
# Source: Yale Bright Star Catalogue, 5th Revised Edition (Hoffleit & Warren
# 1991, ADC/CDS V/50), public domain. 9096 stars.
#
# Columns are the Swiss Ephemeris sefstars format:
#   traditional name, nomenclature name, equinox, RA h/m/s, Dec d/m/s,
#   pmRA (0.001"/yr * cos dec), pmDec (0.001"/yr), radial velocity (km/s),
#   parallax (0.001"), V magnitude
#
# The traditional name is HRnnnn so that every star is addressable by its
# Harvard Revised number; the nomenclature name carries the Bayer/Flamsteed
# designation where BSC5 has one.
HR0048,7Cet,2000,00,14,38.4000,-18,55,58.000,-24.00,-67.00,-23.0,29.00,4.44
HR0049,HR0049,2000,00,14,56.1000,+22,17,03.000,65.00,-11.00,-15.0,0.00,6.24
HR0050,35Psc,2000,00,14,58.8000,+08,49,15.000,97.00,-28.00,1.0,17.00,5.79
HR0051,HR0051,2000,00,14,54.5000,-09,34,11.000,28.00,-11.00,17.0,0.00,5.75
HR0052,HR0052,2000,00,15,07.0000,+31,32,09.000,35.00,-5.00,2.0,0.00,6.45
HR0053,HR0053,2000,00,15,10.6000,+27,16,59.000,21.00,-31.00,-4.0,0.00,6.35
HR0054,HR0054,2000,00,14,58.2000,-34,54,16.000,73.00,-23.00,-52.0,0.00,6.17
HR0055,HR0055,2000,00,16,14.0000,+76,57,03.000,18.00,-2.00,-7.0,13.00,6.35
HR0056,HR0056,2000,00,16,21.6000,+43,35,41.000,43.00,-30.00,2.0,0.00,6.15
HR0057,HR0057,2000,00,16,08.9000,-31,26,47.000,122.00,-30.00,26.0,0.00,5.67
HR0058,HR0058,2000,00,15,55.2000,-75,54,41.000,-13.00,6.00,16.0,0.00,6.49
HR0059,36Psc,2000,00,16,34.1000,+08,14,24.000,-20.00,-19.00,1.0,0.00,6.11
HR0060,HR0060,2000,00,16,57.1000,+61,32,00.000,-1.00,-1.00,-4.0,0.00,5.74
HR0061,HR0061,2000,00,16,42.5000,-20,12,38.000,12.00,-14.00,19.0,0.00,6.47
HR0062,HR0062,2000,00,17,09.1000,+47,56,51.000,8.00,0.00,-9.0,0.00,5.89
HR0063,thAnd,2000,00,17,05.5000,+38,40,54.000,-50.00,-19.00,1.0,22.00,4.61
HR0064,HR0064,2000,00,16,49.0000,-78,46,50.000,77.00,-43.00,-13.0,0.00,6.77
HR0065,HR0065,2000,00,17,43.0000,+51,25,59.000,-5.00,-4.00,-35.0,0.00,6.14
HR0066,HR0066,2000,00,17,32.6000,-19,03,04.000,15.00,3.00,-5.0,0.00,6.45
HR0067,HR0067,2000,00,17,47.7000,+01,41,20.000,95.00,12.00,-9.0,0.00,6.17
HR0068,siAnd,2000,00,18,19.7000,+36,47,07.000,-63.00,-41.00,-8.0,23.00,4.52
HR0069,HR0069,2000,00,18,17.2000,+11,12,21.000,-36.00,-38.00,9.0,0.00,6.05
HR0070,26And,2000,00,18,42.1000,+43,47,28.000,20.00,-3.00,7.0,0.00,6.11
HR0071,HR0071,2000,00,18,38.3000,+31,31,02.000,58.00,-6.00,-5.0,0.00,5.87
HR0072,HR0072,2000,00,18,41.8000,-08,03,10.000,413.00,-139.00,-10.0,53.00,6.46
HR0073,HR0073,2000,00,18,42.6000,-43,14,07.000,56.00,12.00,12.0,0.00,6.33
HR0074,ioCet,2000,00,19,25.7000,-08,49,26.000,-14.00,-36.00,19.0,13.00,3.56
HR0075,HR0075,2000,00,19,41.6000,+40,43,47.000,-26.00,-10.00,-38.0,0.00,6.33
HR0076,HR0076,2000,00,20,05.2000,+48,51,55.000,5.00,-17.00,-3.0,0.00,6.52
HR0077,zeTuc,2000,00,20,04.3000,-64,52,29.000,1705.00,1164.00,9.0,134.00,4.23
HR0078,HR0078,2000,00,20,24.4000,+30,56,09.000,21.00,4.00,4.0,0.00,5.90
HR0079,HR0079,2000,00,20,45.5000,+32,54,41.000,-26.00,-14.00,-36.0,0.00,5.79
HR0080,41Psc,2000,00,20,35.9000,+08,11,25.000,-2.00,8.00,16.0,0.00,5.37
HR0081,HR0081,2000,00,20,54.5000,+10,58,37.000,-46.00,-28.00,-18.0,5.00,6.56
HR0082,rhAnd,2000,00,21,07.3000,+37,58,07.000,60.00,-40.00,9.0,17.00,5.18
HR0083,piTuc,2000,00,20,39.0000,-69,37,30.000,-7.00,0.00,12.0,11.00,5.51
HR0084,ioScl,2000,00,21,31.2000,-28,58,54.000,40.00,-74.00,21.0,27.00,5.18
HR0085,HR0085,2000,00,21,46.3000,-20,03,28.000,71.00,-5.00,29.0,0.00,5.12
HR0086,42Psc,2000,00,22,25.5000,+13,28,57.000,62.00,21.00,3.0,0.00,6.23
HR0087,HR0087,2000,00,21,28.6000,-77,25,37.000,2.00,-10.00,21.0,0.00,5.97
HR0088,9Cet,2000,00,22,51.8000,-12,12,34.000,394.00,61.00,-7.0,49.00,6.39
HR0089,HR0089,2000,00,23,12.6000,-31,02,10.000,29.00,-3.00,1.0,0.00,6.55
HR0090,HR0090,2000,00,24,02.0000,+38,34,38.000,-7.00,-23.00,-11.0,0.00,7.39
HR0091,HR0091,2000,00,24,15.6000,+52,01,12.000,13.00,-4.00,-7.0,4.00,5.57
HR0093,12Cas,2000,00,24,47.5000,+61,49,52.000,12.00,-1.00,-4.0,15.00,5.40
HR0094,HR0094,2000,00,24,29.7000,-02,13,09.000,-33.00,-44.00,15.0,0.00,6.07
HR0096,HR0096,2000,00,25,06.4000,+53,02,49.000,23.00,-2.00,10.0,0.00,5.74
HR0097,44Psc,2000,00,25,24.2000,+01,56,23.000,-13.00,-15.00,-4.0,0.00,5.77
HR0098,beHyi,2000,00,25,45.1000,-77,15,15.000,2215.00,324.00,23.0,153.00,2.80
HR0099,alPhe,2000,00,26,17.0000,-42,18,22.000,203.00,-396.00,75.0,35.00,2.39
HR0100,kaPhe,2000,00,26,12.2000,-43,40,48.000,109.00,29.00,11.0,72.00,3.94
HR0101,10Cet,2000,00,26,37.4000,-00,02,59.000,73.00,-1.00,-23.0,0.00,6.19
HR0102,HR0102,2000,00,27,14.7000,-25,32,50.000,36.00,-19.00,-3.0,0.00,5.98
HR0103,47Psc,2000,00,28,02.9000,+17,53,35.000,117.00,21.00,6.0,16.00,5.06
HR0104,HR0104,2000,00,28,13.7000,+44,23,40.000,89.00,-16.00,2.0,13.00,5.17
HR0105,etScl,2000,00,27,55.7000,-33,00,26.000,-19.00,-52.00,11.0,-14.00,4.81
HR0106,48Psc,2000,00,28,12.7000,+16,26,42.000,19.00,-15.00,-7.0,0.00,6.06
HR0107,HR0107,2000,00,28,20.1000,+10,11,23.000,46.00,-207.00,-10.0,33.00,6.04
HR0108,HR0108,2000,00,28,21.1000,-20,20,06.000,-116.00,-114.00,6.0,34.00,6.43
HR0109,HR0109,2000,00,28,26.4000,-39,54,54.000,130.00,-36.00,32.0,15.00,5.43
HR0110,HR0110,2000,00,28,56.6000,+36,54,00.000,-11.00,3.00,10.0,0.00,6.26
HR0111,HR0111,2000,00,28,43.1000,-50,31,58.000,150.00,-2.00,6.0,0.00,6.26
HR0112,HR0112,2000,00,30,55.0000,+77,01,10.000,337.00,-38.00,19.0,23.00,6.21
HR0113,HR0113,2000,00,30,19.9000,+59,58,38.000,17.00,-12.00,-17.0,2.00,5.94
HR0114,28And,2000,00,30,07.3000,+29,45,06.000,41.00,-54.00,-10.0,1.00,5.23
HR0115,HR0115,2000,00,29,51.9000,-14,51,51.000,144.00,-32.00,3.0,0.00,6.14
HR0116,HR0116,2000,00,29,48.9000,-32,07,00.000,-4.00,-54.00,1.0,0.00,6.57
HR0117,12Cet,2000,00,30,02.4000,-03,57,26.000,11.00,-12.00,5.0,0.00,5.72
HR0118,HR0118,2000,00,30,22.7000,-23,47,16.000,-24.00,13.00,-0.0,18.00,5.19
HR0119,HR0119,2000,00,30,27.8000,-40,56,22.000,-1.00,21.00,-5.0,0.00,6.19
HR0120,HR0120,2000,00,30,26.1000,-48,12,54.000,129.00,-88.00,2.0,0.00,5.69
